Year,Principal_trading_partners,Value,Series
2012,European Union excluding the United Kingdom,49352.0,"G_S, Payments"
2012,European Union excluding the United Kingdom,36242.0,"Goods, Payments"
2012,European Union excluding the United Kingdom,13110.0,"Services, Payments"
2012,France,6681.0,"G_S, Payments"
2012,France,3928.0,"Goods, Payments"
2012,France,2753.0,"Services, Payments"
2012,Germany,14167.0,"G_S, Payments"
2012,Germany,12079.0,"Goods, Payments"
2012,Germany,2088.0,"Services, Payments"
2012,Hong Kong,7943.0,"G_S, Payments"
2012,Hong Kong,4594.0,"Goods, Payments"
2012,Hong Kong,3349.0,"Services, Payments"
2012,India,2980.0,"G_S, Payments"
2012,India,2159.0,"Goods, Payments"
2012,India,821.0,"Services, Payments"
2012,Indonesia,1000.0,"G_S, Payments"
2012,Indonesia,877.0,"Goods, Payments"
2012,Indonesia,123.0,"Services, Payments"
2012,Italy,4842.0,"G_S, Payments"
2012,Italy,3919.0,"Goods, Payments"
2012,Italy,923.0,"Services, Payments"
2012,Japan,12612.0,"G_S, Payments"
2012,Japan,10793.0,"Goods, Payments"
2012,Japan,1819.0,"Services, Payments"
2012,Mexico,18393.0,"G_S, Payments"
2012,Mexico,15911.0,"Goods, Payments"
2012,Mexico,2482.0,"Services, Payments"
2012,Netherlands,5780.0,"G_S, Payments"
2012,Netherlands,4127.0,"Goods, Payments"
2012,Netherlands,1653.0,"Services, Payments"
2012,Norway,3387.0,"G_S, Payments"
2012,Norway,3055.0,"Goods, Payments"
2012,Norway,332.0,"Services, Payments"
2012,Other European Union countries not elsewhere classified,12740.0,"G_S, Payments"
2012,Other European Union countries not elsewhere classified,8345.0,"Goods, Payments"
2012,Other European Union countries not elsewhere classified,4395.0,"Services, Payments"
2012,Other countries not elsewhere classified,41186.0,"G_S, Payments"
2012,Other countries not elsewhere classified,29079.0,"Goods, Payments"
2012,Other countries not elsewhere classified,12107.0,"Services, Payments"
2012,Russian Federation,1278.0,"G_S, Payments"
2012,Russian Federation,678.0,"Goods, Payments"
2012,Russian Federation,600.0,"Services, Payments"
2012,Saudi Arabia,1962.0,"G_S, Payments"
2012,Saudi Arabia,1617.0,"Goods, Payments"
2012,Saudi Arabia,345.0,"Services, Payments"
2012,Singapore,3257.0,"G_S, Payments"
2012,Singapore,1562.0,"Goods, Payments"
2012,Singapore,1695.0,"Services, Payments"
2012,South Korea,5550.0,"G_S, Payments"
2012,South Korea,5190.0,"Goods, Payments"
2012,South Korea,360.0,"Services, Payments"
2012,Spain,2135.0,"G_S, Payments"
2012,Spain,1622.0,"Goods, Payments"
2012,Spain,513.0,"Services, Payments"
2012,Switzerland,5085.0,"G_S, Payments"
2012,Switzerland,3896.0,"Goods, Payments"
2012,Switzerland,1189.0,"Services, Payments"
2012,Taiwan,3397.0,"G_S, Payments"
2012,Taiwan,2809.0,"Goods, Payments"
2012,Taiwan,588.0,"Services, Payments"
2012,Total of all countries,589136.0,"G_S, Payments"
2012,Total of all countries,475171.0,"Goods, Payments"
2012,Total of all countries,113965.0,"Services, Payments"
2012,Turkey,3661.0,"G_S, Payments"
2012,Turkey,3525.0,"Goods, Payments"
2012,Turkey,136.0,"Services, Payments"
2012,United Kingdom,14368.0,"G_S, Payments"
2012,United Kingdom,8395.0,"Goods, Payments"
2012,United Kingdom,5973.0,"Services, Payments"
2012,United States,361802.0,"G_S, Payments"
2012,United States,296214.0,"Goods, Payments"
2012,United States,65588.0,"Services, Payments"
2013,Australia,2614.0,"G_S, Payments"
2013,Australia,1627.0,"Goods, Payments"
2013,Australia,987.0,"Services, Payments"
2013,Belgium,3427.0,"G_S, Payments"
2013,Belgium,2760.0,"Goods, Payments"
2013,Belgium,667.0,"Services, Payments"
2013,Brazil,3122.0,"G_S, Payments"
2013,Brazil,2814.0,"Goods, Payments"
2013,Brazil,308.0,"Services, Payments"
2013,China,34090.0,"G_S, Payments"
2013,China,31944.0,"Goods, Payments"
2013,China,2146.0,"Services, Payments"
2013,European Union excluding the United Kingdom,51695.0,"G_S, Payments"
2013,European Union excluding the United Kingdom,37772.0,"Goods, Payments"
2013,European Union excluding the United Kingdom,13923.0,"Services, Payments"
2013,France,6703.0,"G_S, Payments"
2013,France,3990.0,"Goods, Payments"
2013,France,2713.0,"Services, Payments"
2013,Germany,15115.0,"G_S, Payments"
2013,Germany,12613.0,"Goods, Payments"
2013,Germany,2502.0,"Services, Payments"
2013,Hong Kong,7838.0,"G_S, Payments"
2013,Hong Kong,4148.0,"Goods, Payments"
2013,Hong Kong,3690.0,"Services, Payments"
2013,India,3509.0,"G_S, Payments"
2013,India,2319.0,"Goods, Payments"
2013,India,1190.0,"Services, Payments"
2013,Indonesia,1000.0,"G_S, Payments"
2013,Indonesia,885.0,"Goods, Payments"
2013,Indonesia,115.0,"Services, Payments"
2013,Italy,5422.0,"G_S, Payments"
2013,Italy,4438.0,"Goods, Payments"
2013,Italy,984.0,"Services, Payments"
2013,Japan,11400.0,"G_S, Payments"
2013,Japan,9596.0,"Goods, Payments"
2013,Japan,1804.0,"Services, Payments"
2013,Mexico,19052.0,"G_S, Payments"
2013,Mexico,16380.0,"Goods, Payments"
2013,Mexico,2672.0,"Services, Payments"
2013,Netherlands,5792.0,"G_S, Payments"
2013,Netherlands,3971.0,"Goods, Payments"
2013,Netherlands,1821.0,"Services, Payments"
2013,Norway,4278.0,"G_S, Payments"
2013,Norway,3946.0,"Goods, Payments"
2013,Norway,332.0,"Services, Payments"
2013,Other European Union countries not elsewhere classified,12975.0,"G_S, Payments"
2013,Other European Union countries not elsewhere classified,8365.0,"Goods, Payments"
2013,Other European Union countries not elsewhere classified,4610.0,"Services, Payments"
2013,Other countries not elsewhere classified,38490.0,"G_S, Payments"
2013,Other countries not elsewhere classified,25779.0,"Goods, Payments"
2013,Other countries not elsewhere classified,12711.0,"Services, Payments"
2013,Russian Federation,1434.0,"G_S, Payments"
2013,Russian Federation,813.0,"Goods, Payments"
2013,Russian Federation,621.0,"Services, Payments"
2013,Saudi Arabia,3100.0,"G_S, Payments"
2013,Saudi Arabia,2735.0,"Goods, Payments"
2013,Saudi Arabia,365.0,"Services, Payments"
2013,Singapore,3605.0,"G_S, Payments"
2013,Singapore,1846.0,"Goods, Payments"
2013,Singapore,1759.0,"Services, Payments"
2013,South Korea,5961.0,"G_S, Payments"
2013,South Korea,5584.0,"Goods, Payments"
2013,South Korea,377.0,"Services, Payments"
2013,Spain,2263.0,"G_S, Payments"
2013,Spain,1635.0,"Goods, Payments"
2013,Spain,628.0,"Services, Payments"
2013,Switzerland,5663.0,"G_S, Payments"
2013,Switzerland,4422.0,"Goods, Payments"
2013,Switzerland,1241.0,"Services, Payments"
2013,Taiwan,3312.0,"G_S, Payments"
2013,Taiwan,2710.0,"Goods, Payments"
2013,Taiwan,602.0,"Services, Payments"
2013,Total of all countries,606801.0,"G_S, Payments"
2013,Total of all countries,487759.0,"Goods, Payments"
2013,Total of all countries,119042.0,"Services, Payments"
2013,Turkey,1992.0,"G_S, Payments"
2013,Turkey,1839.0,"Goods, Payments"
2013,Turkey,153.0,"Services, Payments"
2013,United Kingdom,13077.0,"G_S, Payments"
2013,United Kingdom,7619.0,"Goods, Payments"
2013,United Kingdom,5458.0,"Services, Payments"
2013,United States,382103.0,"G_S, Payments"
2013,United States,313516.0,"Goods, Payments"
2013,United States,68587.0,"Services, Payments"
2014,Australia,2453.0,"G_S, Payments"
2014,Australia,1328.0,"Goods, Payments"
2014,Australia,1125.0,"Services, Payments"
2014,Belgium,3846.0,"G_S, Payments"
2014,Belgium,3144.0,"Goods, Payments"
2014,Belgium,702.0,"Services, Payments"
2014,Brazil,3148.0,"G_S, Payments"
2014,Brazil,2876.0,"Goods, Payments"
2014,Brazil,272.0,"Services, Payments"
2014,China,37941.0,"G_S, Payments"
2014,China,35570.0,"Goods, Payments"
2014,China,2371.0,"Services, Payments"
2014,European Union excluding the United Kingdom,57294.0,"G_S, Payments"
2014,European Union excluding the United Kingdom,41220.0,"Goods, Payments"
2014,European Union excluding the United Kingdom,16074.0,"Services, Payments"
2014,France,7566.0,"G_S, Payments"
2014,France,4395.0,"Goods, Payments"
2014,France,3171.0,"Services, Payments"
2014,Germany,15847.0,"G_S, Payments"
2014,Germany,13092.0,"Goods, Payments"
2014,Germany,2755.0,"Services, Payments"
2014,Hong Kong,8148.0,"G_S, Payments"
2014,Hong Kong,4168.0,"Goods, Payments"
2014,Hong Kong,3980.0,"Services, Payments"
2014,India,3599.0,"G_S, Payments"
2014,India,2474.0,"Goods, Payments"
2014,India,1125.0,"Services, Payments"
2014,Indonesia,1084.0,"G_S, Payments"
2014,Indonesia,929.0,"Goods, Payments"
2014,Indonesia,155.0,"Services, Payments"
2014,Italy,5821.0,"G_S, Payments"
2014,Italy,4726.0,"Goods, Payments"
2014,Italy,1095.0,"Services, Payments"
2014,Japan,11364.0,"G_S, Payments"
2014,Japan,9219.0,"Goods, Payments"
2014,Japan,2145.0,"Services, Payments"
2014,Mexico,20028.0,"G_S, Payments"
2014,Mexico,17135.0,"Goods, Payments"
2014,Mexico,2893.0,"Services, Payments"
2014,Netherlands,6689.0,"G_S, Payments"
2014,Netherlands,4326.0,"Goods, Payments"
2014,Netherlands,2363.0,"Services, Payments"
2014,Norway,2348.0,"G_S, Payments"
2014,Norway,1807.0,"Goods, Payments"
2014,Norway,541.0,"Services, Payments"
2014,Other European Union countries not elsewhere classified,14658.0,"G_S, Payments"
2014,Other European Union countries not elsewhere classified,9345.0,"Goods, Payments"
2014,Other European Union countries not elsewhere classified,5313.0,"Services, Payments"
2014,Other countries not elsewhere classified,38005.0,"G_S, Payments"
2014,Other countries not elsewhere classified,24455.0,"Goods, Payments"
2014,Other countries not elsewhere classified,13550.0,"Services, Payments"
2014,Russian Federation,1035.0,"G_S, Payments"
2014,Russian Federation,377.0,"Goods, Payments"
2014,Russian Federation,658.0,"Services, Payments"
2014,Saudi Arabia,2784.0,"G_S, Payments"
2014,Saudi Arabia,2359.0,"Goods, Payments"
2014,Saudi Arabia,425.0,"Services, Payments"
2014,Singapore,2926.0,"G_S, Payments"
2014,Singapore,1197.0,"Goods, Payments"
2014,Singapore,1729.0,"Services, Payments"
2014,South Korea,6192.0,"G_S, Payments"
2014,South Korea,5595.0,"Goods, Payments"
2014,South Korea,597.0,"Services, Payments"
2014,Spain,2870.0,"G_S, Payments"
2014,Spain,2194.0,"Goods, Payments"
2014,Spain,676.0,"Services, Payments"
2014,Switzerland,6176.0,"G_S, Payments"
2014,Switzerland,4878.0,"Goods, Payments"
2014,Switzerland,1298.0,"Services, Payments"
2014,Taiwan,3433.0,"G_S, Payments"
2014,Taiwan,2803.0,"Goods, Payments"
2014,Taiwan,630.0,"Services, Payments"
2014,Total of all countries,651176.0,"G_S, Payments"
2014,Total of all countries,525051.0,"Goods, Payments"
2014,Total of all countries,126125.0,"Services, Payments"
2014,Turkey,1292.0,"G_S, Payments"
2014,Turkey,1120.0,"Goods, Payments"
2014,Turkey,172.0,"Services, Payments"
2014,United Kingdom,14252.0,"G_S, Payments"
2014,United Kingdom,8257.0,"Goods, Payments"
2014,United Kingdom,5995.0,"Services, Payments"
2014,United States,421666.0,"G_S, Payments"
2014,United States,351276.0,"Goods, Payments"
2014,United States,70390.0,"Services, Payments"
2015,Australia,2565.0,"G_S, Payments"
2015,Australia,1490.0,"Goods, Payments"
2015,Australia,1075.0,"Services, Payments"
2015,Belgium,3867.0,"G_S, Payments"
2015,Belgium,3214.0,"Goods, Payments"
2015,Belgium,653.0,"Services, Payments"
2015,Brazil,3482.0,"G_S, Payments"
2015,Brazil,3160.0,"Goods, Payments"
2015,Brazil,322.0,"Services, Payments"
2015,China,41521.0,"G_S, Payments"
2015,China,38963.0,"Goods, Payments"
2015,China,2558.0,"Services, Payments"
2015,European Union excluding the United Kingdom,61001.0,"G_S, Payments"
2015,European Union excluding the United Kingdom,44524.0,"Goods, Payments"
2015,European Union excluding the United Kingdom,16477.0,"Services, Payments"
2015,France,7796.0,"G_S, Payments"
2015,France,4559.0,"Goods, Payments"
2015,France,3237.0,"Services, Payments"
2015,Germany,17666.0,"G_S, Payments"
2015,Germany,14976.0,"Goods, Payments"
2015,Germany,2690.0,"Services, Payments"
2015,Hong Kong,8665.0,"G_S, Payments"
2015,Hong Kong,4421.0,"Goods, Payments"
2015,Hong Kong,4244.0,"Services, Payments"
2015,India,4206.0,"G_S, Payments"
2015,India,2922.0,"Goods, Payments"
2015,India,1284.0,"Services, Payments"
2015,Indonesia,1253.0,"G_S, Payments"
2015,Indonesia,1086.0,"Goods, Payments"
2015,Indonesia,167.0,"Services, Payments"
2015,Italy,6623.0,"G_S, Payments"
2015,Italy,5426.0,"Goods, Payments"
2015,Italy,1197.0,"Services, Payments"
2015,Japan,13050.0,"G_S, Payments"
2015,Japan,10799.0,"Goods, Payments"
2015,Japan,2251.0,"Services, Payments"
2015,Mexico,21806.0,"G_S, Payments"
2015,Mexico,18374.0,"Goods, Payments"
2015,Mexico,3432.0,"Services, Payments"
2015,Netherlands,6307.0,"G_S, Payments"
2015,Netherlands,4363.0,"Goods, Payments"
2015,Netherlands,1944.0,"Services, Payments"
2015,Norway,2266.0,"G_S, Payments"
2015,Norway,1692.0,"Goods, Payments"
2015,Norway,574.0,"Services, Payments"
2015,Other European Union countries not elsewhere classified,15895.0,"G_S, Payments"
2015,Other European Union countries not elsewhere classified,9772.0,"Goods, Payments"
2015,Other European Union countries not elsewhere classified,6123.0,"Services, Payments"
2015,Other countries not elsewhere classified,40137.0,"G_S, Payments"
2015,Other countries not elsewhere classified,25264.0,"Goods, Payments"
2015,Other countries not elsewhere classified,14873.0,"Services, Payments"
2015,Russian Federation,1353.0,"G_S, Payments"
2015,Russian Federation,652.0,"Goods, Payments"
2015,Russian Federation,701.0,"Services, Payments"
2015,Saudi Arabia,2534.0,"G_S, Payments"
2015,Saudi Arabia,2056.0,"Goods, Payments"
2015,Saudi Arabia,478.0,"Services, Payments"
2015,Singapore,2834.0,"G_S, Payments"
2015,Singapore,933.0,"Goods, Payments"
2015,Singapore,1901.0,"Services, Payments"
2015,South Korea,7060.0,"G_S, Payments"
2015,South Korea,6524.0,"Goods, Payments"
2015,South Korea,536.0,"Services, Payments"
2015,Spain,2846.0,"G_S, Payments"
2015,Spain,2213.0,"Goods, Payments"
2015,Spain,633.0,"Services, Payments"
2015,Switzerland,6670.0,"G_S, Payments"
2015,Switzerland,5290.0,"Goods, Payments"
2015,Switzerland,1380.0,"Services, Payments"
2015,Taiwan,4141.0,"G_S, Payments"
2015,Taiwan,3437.0,"Goods, Payments"
2015,Taiwan,704.0,"Services, Payments"
2015,Total of all countries,683019.0,"G_S, Payments"
2015,Total of all countries,549063.0,"Goods, Payments"
2015,Total of all countries,133956.0,"Services, Payments"
2015,Turkey,1161.0,"G_S, Payments"
2015,Turkey,971.0,"Goods, Payments"
2015,Turkey,190.0,"Services, Payments"
2015,United Kingdom,15957.0,"G_S, Payments"
2015,United Kingdom,8640.0,"Goods, Payments"
2015,United Kingdom,7317.0,"Services, Payments"
2015,United States,437201.0,"G_S, Payments"
2015,United States,363707.0,"Goods, Payments"
2015,United States,73494.0,"Services, Payments"
2016,Australia,3014.0,"G_S, Payments"
2016,Australia,1853.0,"Goods, Payments"
2016,Australia,1161.0,"Services, Payments"
2016,Belgium,3826.0,"G_S, Payments"
2016,Belgium,3132.0,"Goods, Payments"
2016,Belgium,694.0,"Services, Payments"
2016,Brazil,3537.0,"G_S, Payments"
2016,Brazil,3209.0,"Goods, Payments"
2016,Brazil,328.0,"Services, Payments"
2016,China,40289.0,"G_S, Payments"
2016,China,37661.0,"Goods, Payments"
2016,China,2628.0,"Services, Payments"
2016,European Union excluding the United Kingdom,61993.0,"G_S, Payments"
2016,European Union excluding the United Kingdom,44705.0,"Goods, Payments"
2016,European Union excluding the United Kingdom,17288.0,"Services, Payments"
2016,France,7894.0,"G_S, Payments"
2016,France,4447.0,"Goods, Payments"
2016,France,3447.0,"Services, Payments"
2016,Germany,17409.0,"G_S, Payments"
2016,Germany,14581.0,"Goods, Payments"
2016,Germany,2828.0,"Services, Payments"
2016,Hong Kong,8454.0,"G_S, Payments"
2016,Hong Kong,4116.0,"Goods, Payments"
2016,Hong Kong,4338.0,"Services, Payments"
2016,India,4470.0,"G_S, Payments"
2016,India,2958.0,"Goods, Payments"
2016,India,1512.0,"Services, Payments"
2016,Indonesia,1239.0,"G_S, Payments"
2016,Indonesia,1091.0,"Goods, Payments"
2016,Indonesia,148.0,"Services, Payments"
2016,Italy,6899.0,"G_S, Payments"
2016,Italy,5644.0,"Goods, Payments"
2016,Italy,1255.0,"Services, Payments"
2016,Japan,14289.0,"G_S, Payments"
2016,Japan,11784.0,"Goods, Payments"
2016,Japan,2505.0,"Services, Payments"
2016,Mexico,22378.0,"G_S, Payments"
2016,Mexico,18916.0,"Goods, Payments"
2016,Mexico,3462.0,"Services, Payments"
2016,Netherlands,6723.0,"G_S, Payments"
2016,Netherlands,4829.0,"Goods, Payments"
2016,Netherlands,1894.0,"Services, Payments"
2016,Norway,2040.0,"G_S, Payments"
2016,Norway,1484.0,"Goods, Payments"
2016,Norway,556.0,"Services, Payments"
2016,Other European Union countries not elsewhere classified,16460.0,"G_S, Payments"
2016,Other European Union countries not elsewhere classified,9940.0,"Goods, Payments"
2016,Other European Union countries not elsewhere classified,6520.0,"Services, Payments"
2016,Other countries not elsewhere classified,41460.0,"G_S, Payments"
2016,Other countries not elsewhere classified,26285.0,"Goods, Payments"
2016,Other countries not elsewhere classified,15175.0,"Services, Payments"
2016,Russian Federation,1185.0,"G_S, Payments"
2016,Russian Federation,482.0,"Goods, Payments"
2016,Russian Federation,703.0,"Services, Payments"
2016,Saudi Arabia,2196.0,"G_S, Payments"
2016,Saudi Arabia,1737.0,"Goods, Payments"
2016,Saudi Arabia,459.0,"Services, Payments"
2016,Singapore,2885.0,"G_S, Payments"
2016,Singapore,961.0,"Goods, Payments"
2016,Singapore,1924.0,"Services, Payments"
2016,South Korea,9472.0,"G_S, Payments"
2016,South Korea,8957.0,"Goods, Payments"
2016,South Korea,515.0,"Services, Payments"
2016,Spain,2781.0,"G_S, Payments"
2016,Spain,2131.0,"Goods, Payments"
2016,Spain,650.0,"Services, Payments"
2016,Switzerland,6970.0,"G_S, Payments"
2016,Switzerland,5413.0,"Goods, Payments"
2016,Switzerland,1557.0,"Services, Payments"
2016,Taiwan,3710.0,"G_S, Payments"
2016,Taiwan,3038.0,"Goods, Payments"
2016,Taiwan,672.0,"Services, Payments"
2016,Total of all countries,685868.0,"G_S, Payments"
2016,Total of all countries,547349.0,"Goods, Payments"
2016,Total of all countries,138519.0,"Services, Payments"
2016,Turkey,1239.0,"G_S, Payments"
2016,Turkey,1031.0,"Goods, Payments"
2016,Turkey,208.0,"Services, Payments"
2016,United Kingdom,15254.0,"G_S, Payments"
2016,United Kingdom,7738.0,"Goods, Payments"
2016,United Kingdom,7516.0,"Services, Payments"
2016,United States,435635.0,"G_S, Payments"
2016,United States,359769.0,"Goods, Payments"
2016,United States,75866.0,"Services, Payments"
2017,Australia,2849.0,"G_S, Payments"
2017,Australia,1714.0,"Goods, Payments"
2017,Australia,1135.0,"Services, Payments"
2017,Belgium,4842.0,"G_S, Payments"
2017,Belgium,4070.0,"Goods, Payments"
2017,Belgium,772.0,"Services, Payments"
2017,Brazil,4258.0,"G_S, Payments"
