iso,country,subject_descriptor,units,scale,2015,2016,2017,2018,2019,2020,2021,2022,2023,estimates_after
ARM,Armenia,"Gross domestic product, constant prices",Percent change,,3.254,0.195,7.518,5.225,7.631,-7.353,6.461,4.543,4.4,2020
ARM,Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,10.553,10.546,11.527,12.458,13.619,12.641,13.612,15.06,16.157,2020
ARM,Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,529.03","3,524.00","3,868.91","4,195.96","4,596.86","4,267.49","4,594.91","5,083.22","5,453.16",2020
ARM,Armenia,"Inflation, average consumer prices",Percent change,,3.731,-1.406,0.974,2.521,1.443,1.23,6.947,5.778,4.564,2020
ARM,Armenia,Unemployment rate,Percent of total labor force,,18.5,18,17.8,19,18.3,18,18.5,18.25,17.75,2020
ARM,Armenia,Population,Persons,Millions,2.99,2.993,2.979,2.969,2.963,2.962,2.962,2.963,2.963,2020
ABW,Aruba,"Gross domestic product, constant prices",Percent change,,3.551,2.11,5.474,1.279,-2.1,-22.32,12.781,7.484,6.2,2020
ABW,Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,2.963,2.984,3.092,3.202,3.31,2.497,2.865,3.127,3.369,2020
ABW,Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"27,126.62","27,036.93","27,897.42","28,727.94","29,505.34","22,483.49","25,700.87","27,955.24","30,008.08",2019
ABW,Aruba,"Inflation, average consumer prices",Percent change,,0.473,-0.929,-1.028,3.625,3.938,-1.312,0.265,1.666,1.505,2020
ABW,Aruba,Unemployment rate,Percent of total labor force,,7.298,7.694,8.923,7.283,5.2,14,9.583,6.985,5.673,2019
ABW,Aruba,Population,Persons,Millions,0.109,0.11,0.111,0.111,0.112,0.111,0.111,0.112,0.112,2019
AUS,Australia,"Gross domestic product, constant prices",Percent change,,2.325,2.729,2.419,2.848,1.912,-2.351,3.544,4.138,2.566,2020
AUS,Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,234.84","1,266.20","1,385.20","1,421.19","1,392.33","1,359.37","1,610.56","1,677.45","1,772.05",2020
AUS,Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"51,484.64","51,915.24","55,915.00","56,460.90","54,476.91","52,905.40","62,618.59","64,895.02","67,842.29",2020
AUS,Australia,"Inflation, average consumer prices",Percent change,,1.485,1.277,1.995,1.933,1.566,0.89,2.504,2.092,2.224,2020
AUS,Australia,Unemployment rate,Percent of total labor force,,6.058,5.717,5.592,5.3,5.158,6.492,5.227,4.808,4.683,2020
AUS,Australia,Population,Persons,Millions,23.985,24.39,24.773,25.171,25.558,25.694,25.72,25.849,26.12,2020
AUT,Austria,"Gross domestic product, constant prices",Percent change,,1.015,1.989,2.4,2.58,1.419,-6.179,3.918,4.5,2.1,2019
AUT,Austria,"Gross domestic product, current prices",U.S. dollars,Billions,382.01,395.728,417.091,455.301,445.125,432.524,481.209,520.343,545.757,2019
AUT,Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"44,267.81","45,278.83","47,317.91","51,246.15","50,246.61","48,592.71","53,793.37","57,878.72","60,403.54",2019
AUT,Austria,"Inflation, average consumer prices",Percent change,,0.808,0.973,2.228,2.122,1.493,1.391,2.45,2.448,2,2020
AUT,Austria,Unemployment rate,Percent of total labor force,,6.167,6.467,5.925,5.208,4.825,5.4,6.4,6,5.5,2019
AUT,Austria,Population,Persons,Millions,8.63,8.74,8.815,8.885,8.859,8.901,8.946,8.99,9.035,2019
AZE,Azerbaijan,"Gross domestic product, constant prices",Percent change,,1.05,-3.064,0.154,1.5,2.48,-4.29,2.959,2.349,1.715,2020
AZE,Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,50.844,37.83,41.375,47.113,48.174,42.607,52.645,54.725,55.975,2020
AZE,Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,300.14","3,897.71","4,217.65","4,759.80","4,826.35","4,232.32","5,167.38","5,307.83","5,364.76",2020
AZE,Azerbaijan,"Inflation, average consumer prices",Percent change,,4.048,12.438,12.844,2.334,2.712,2.824,4.4,3.2,3.2,2020
AZE,Azerbaijan,Unemployment rate,Percent of total labor force,,4.958,5.043,4.961,4.944,4.848,7.157,6.373,6.302,6.232,2020
AZE,Azerbaijan,Population,Persons,Millions,9.593,9.706,9.81,9.898,9.982,10.067,10.188,10.31,10.434,2020
BHS,The Bahamas,"Gross domestic product, constant prices",Percent change,,1.59,0.091,1.625,2.767,0.703,-14.515,2,7.996,3.997,2019
BHS,The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,11.891,11.993,12.36,12.838,13.164,9.908,10.681,12.039,12.884,2019
BHS,The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"32,648.64","32,565.04","33,191.21","34,094.37","34,575.62","25,734.16","27,437.20","30,584.62","32,368.22",2018
BHS,The Bahamas,"Inflation, average consumer prices",Percent change,,1.878,-0.33,1.5,2.268,2.491,0.039,3.021,4.232,3.23,2019
BHS,The Bahamas,Unemployment rate,Percent of total labor force,,13.379,12.15,10.1,10.35,10.1,25.571,21.549,15.22,11.508,2019
BHS,The Bahamas,Population,Persons,Millions,0.364,0.368,0.372,0.377,0.381,0.385,0.389,0.394,0.398,2018
BHR,Bahrain,"Gross domestic product, constant prices",Percent change,,2.485,3.558,4.292,1.72,2.559,-5.088,2.441,3.097,3.091,2020
BHR,Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,31.051,32.235,35.474,37.652,38.467,34.729,39.104,41.057,42.867,2020
BHR,Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"22,659.37","22,641.28","23,631.59","25,049.64","25,925.28","23,589.96","26,293.95","27,052.97","27,678.48",2020
BHR,Bahrain,"Inflation, average consumer prices",Percent change,,1.849,2.789,1.386,2.091,1.006,-2.324,1,2.7,2.674,2020
BHR,Bahrain,Unemployment rate,Percent of total labor force,,3.4,3.7,3.58,3.94,4,4.875,3.881,3.8,3.802,2020
BHR,Bahrain,Population,Persons,Millions,1.37,1.424,1.501,1.503,1.484,1.472,1.487,1.518,1.549,2020
BGD,Bangladesh,"Gross domestic product, constant prices",Percent change,,6.553,7.114,7.284,7.864,8.153,3.509,4.599,6.544,7.2,2020
BGD,Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,195.147,221.398,249.695,273.3,302.397,323.057,355.689,390.608,429.417,2020
BGD,Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,248.89","1,401.51","1,563.81","1,693.77","1,854.67","1,961.61","2,138.79","2,326.63","2,534.45",2020
BGD,Bangladesh,"Inflation, average consumer prices",Percent change,,6.405,5.916,5.44,5.783,5.475,5.648,5.558,5.684,5.75,2021
BGD,Bangladesh,Unemployment rate,Percent of total labor force,,,,,,,,,,,
BGD,Bangladesh,Population,Persons,Millions,156.256,157.971,159.671,161.356,163.046,164.689,166.303,167.886,169.432,2020
BRB,Barbados,"Gross domestic product, constant prices",Percent change,,2.446,2.485,0.478,-0.583,-1.287,-18,3.3,8.5,4.8,2019
BRB,Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,4.715,4.83,4.978,5.087,5.298,4.418,4.648,5.142,5.496,2019
BRB,Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"16,589.45","16,947.63","17,423.25","17,758.08","18,448.83","15,346.28","16,105.13","17,769.73","18,947.06",2019
BRB,Barbados,"Inflation, average consumer prices",Percent change,,-1.112,1.512,4.41,3.688,4.1,2.882,2.468,4.363,2.473,2020
BRB,Barbados,Unemployment rate,Percent of total labor force,,11.3,9.65,9.95,10.05,10.748,24.694,18.611,12.925,11.672,2019
BRB,Barbados,Population,Persons,Millions,0.284,0.285,0.286,0.286,0.287,0.288,0.289,0.289,0.29,2019
BLR,Belarus,"Gross domestic product, constant prices",Percent change,,-3.83,-2.536,2.541,3.138,1.446,-0.949,2.071,0.512,1.033,2020
BLR,Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,56.329,47.703,54.723,60.011,64.414,60.201,65.754,70.632,73.236,2020
BLR,Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,958.84","5,037.85","5,778.56","6,351.76","6,831.52","6,397.51","7,032.48","7,592.19","7,911.69",2020
BLR,Belarus,"Inflation, average consumer prices",Percent change,,13.523,11.829,6.032,4.867,5.6,5.536,9.231,8.259,6.125,2020
BLR,Belarus,Unemployment rate,Percent of total labor force,,5.821,5.92,5.684,4.825,4.225,4.1,4.328,4.231,4.038,2020
BLR,Belarus,Population,Persons,Millions,9.453,9.469,9.47,9.448,9.429,9.41,9.35,9.303,9.257,2020
BEL,Belgium,"Gross domestic product, constant prices",Percent change,,2.041,1.267,1.622,1.788,1.785,-6.284,5.636,3.107,1.775,2020
BEL,Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,462.383,475.931,502.587,543.923,533.313,514.92,581.848,619.16,650.836,2020
BEL,Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"41,147.26","42,076.40","44,274.07","47,718.41","46,555.09","44,688.46","50,412.71","53,452.46","55,938.77",2020
BEL,Belgium,"Inflation, average consumer prices",Percent change,,0.62,1.77,2.224,2.311,1.249,0.428,2.362,2.231,1.855,2020
BEL,Belgium,Unemployment rate,Percent of total labor force,,8.508,7.842,7.108,5.983,5.375,5.55,6.31,6.14,5.883,2019
BEL,Belgium,Population,Persons,Millions,11.237,11.311,11.352,11.399,11.456,11.522,11.542,11.583,11.635,2020
BLZ,Belize,"Gross domestic product, constant prices",Percent change,,2.634,-0.032,1.813,2.909,1.761,-14.038,8.5,5.4,2.8,2020
BLZ,Belize,"Gross domestic product, current prices",U.S. dollars,Billions,1.722,1.789,1.859,1.916,1.983,1.706,1.909,2.062,2.162,2020
BLZ,Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,674.60","4,734.01","4,791.52","4,813.21","4,853.32","4,076.77","4,457.89","4,721.64","4,853.85",2020
BLZ,Belize,"Inflation, average consumer prices",Percent change,,-0.862,0.661,1.15,0.27,0.186,0.122,3.1,2.5,2,2020
BLZ,Belize,Unemployment rate,Percent of total labor force,,10.157,9.55,9.35,9.725,9,13.743,10.623,9.772,8.95,2020
BLZ,Belize,Population,Persons,Millions,0.368,0.378,0.388,0.398,0.408,0.419,0.428,0.437,0.445,2020
BEN,Benin,"Gross domestic product, constant prices",Percent change,,1.778,3.34,5.672,6.697,6.866,3.849,5.511,6.531,6.48,2019
BEN,Benin,"Gross domestic product, current prices",U.S. dollars,Billions,11.389,11.818,12.697,14.257,14.392,15.674,18.067,19.917,21.84,2019
BEN,Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,076.91","1,086.99","1,136.19","1,240.84","1,218.28","1,290.50","1,446.83","1,551.42","1,654.79",2017
BEN,Benin,"Inflation, average consumer prices",Percent change,,0.21,-0.794,1.769,0.849,-0.933,3.049,3,2,2,2019
BEN,Benin,Unemployment rate,Percent of total labor force,,,,,,,,,,,
BEN,Benin,Population,Persons,Millions,10.576,10.872,11.175,11.49,11.814,12.146,12.487,12.838,13.198,2017
BTN,Bhutan,"Gross domestic product, constant prices",Percent change,,6.221,7.408,6.322,3.835,4.279,-0.817,-1.916,4.198,5.686,2020
BTN,Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,1.922,2.025,2.365,2.411,2.488,2.503,2.48,2.74,3,2020
BTN,Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,693.63","2,803.64","3,234.75","3,280.72","3,371.02","3,358.96","3,296.11","3,605.55","3,910.25",2015
BTN,Bhutan,"Inflation, average consumer prices",Percent change,,6.67,3.28,4.31,3.66,2.82,4.15,6.271,6.93,5.15,2020
BTN,Bhutan,Unemployment rate,Percent of total labor force,,2.5,2.1,3.138,3.4,2.3,5,n/a,n/a,n/a,2020
BTN,Bhutan,Population,Persons,Millions,0.713,0.722,0.731,0.735,0.738,0.745,0.753,0.76,0.767,2015
BOL,Bolivia,"Gross domestic product, constant prices",Percent change,,4.857,4.264,4.195,4.224,2.217,-8.829,4.95,4,3.7,2020
BOL,Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,33.241,34.189,37.782,40.581,41.193,36.839,38.547,40.895,43.867,2020
BOL,Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,069.32","3,110.87","3,388.52","3,588.09","3,591.40","3,167.61","3,266.69","3,419.33","3,616.43",2017
BOL,Bolivia,"Inflation, average consumer prices",Percent change,,4.061,3.625,2.822,2.272,1.839,0.942,1.269,2.689,3.385,2020
BOL,Bolivia,Unemployment rate,Percent of total labor force,,4,4,4,4,4,8.3,7.8,6,5,2020
BOL,Bolivia,Population,Persons,Millions,10.83,10.99,11.15,11.31,11.47,11.63,11.8,11.96,12.13,2017
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,3.088,3.146,3.176,3.74,2.831,-4.327,2.8,3.25,3,2020
BIH,Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,16.21,16.91,18.081,20.184,20.203,19.789,21.692,23.006,24.521,2020
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,727.26","4,994.07","5,392.37","6,073.94","6,120.16","6,035.00","6,647.83","7,078.90","7,568.24",2018
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,-1.023,-1.584,0.81,1.417,0.559,-1.052,1.819,1.778,1.718,2020
BIH,Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,27.7,25.4,20.5,18.4,15.7,15.9,15.8,15.7,15.6,2020
BIH,Bosnia and Herzegovina,Population,Persons,Millions,3.429,3.386,3.353,3.323,3.301,3.279,3.263,3.25,3.24,2018
BWA,Botswana,"Gross domestic product, constant prices",Percent change,,-5.718,7.037,4.003,3.981,2.993,-8.493,9.162,4.68,4.432,2020
BWA,Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,13.602,15.094,16.068,16.914,16.592,15.064,17.605,19.002,20.614,2020
BWA,Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,413.79","6,988.16","7,286.77","7,513.63","7,219.46","6,420.23","7,349.88","7,770.51","8,257.27",2019
BWA,Botswana,"Inflation, average consumer prices",Percent change,,3.054,2.81,3.296,3.241,2.745,1.89,5.803,5,4.35,2020
BWA,Botswana,Unemployment rate,Percent of total labor force,,,,,,,,,,,
BWA,Botswana,Population,Persons,Millions,2.121,2.16,2.205,2.251,2.298,2.346,2.395,2.445,2.497,2019
BRA,Brazil,"Gross domestic product, constant prices",Percent change,,-3.546,-3.276,1.323,1.784,1.411,-4.059,5.229,1.522,2.014,2020
BRA,Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"1,800.05","1,796.62","2,063.52","1,916.93","1,877.82","1,444.72","1,645.84","1,810.61","1,958.41",2020
BRA,Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,846.48","8,757.31","9,978.09","9,194.15","8,935.76","6,822.56","7,741.15","8,464.33","9,102.21",2019
BRA,Brazil,"Inflation, average consumer prices",Percent change,,9.03,8.74,3.446,3.665,3.733,3.212,7.699,5.347,3.462,2020
BRA,Brazil,Unemployment rate,Percent of total labor force,,8.5,11.5,12.725,12.25,11.875,13.5,13.792,13.141,11.957,2020
BRA,Brazil,Population,Persons,Millions,203.476,205.157,206.805,208.495,210.147,211.756,212.609,213.911,215.157,2019
BRN,Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,-0.405,-2.465,1.329,0.052,3.869,1.113,1.974,2.578,2.388,2020
BRN,Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,12.931,11.399,12.128,13.568,13.47,12.003,15.686,16.263,15.724,2020
BRN,Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"31,355.74","27,318.05","28,236.77","30,668.37","29,314.11","26,061.00","33,979.37","35,148.83","33,907.08",2020
BRN,Brunei Darussalam,"Inflation, average consumer prices",Percent change,,-0.311,-0.383,-1.261,1.053,-0.418,1.937,2.5,1.5,1,2020
BRN,Brunei Darussalam,Unemployment rate,Percent of total labor force,,7.7,8.5,9.3,8.7,6.822,6.822,6.822,6.822,6.822,2019
BRN,Brunei Darussalam,Population,Persons,Millions,0.412,0.417,0.43,0.442,0.46,0.461,0.462,0.463,0.464,2020
BGR,Bulgaria,"Gross domestic product, constant prices",Percent change,,3.99,3.82,3.503,3.092,3.694,-4.154,4.54,4.4,4,2020
BGR,Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,50.647,53.802,59.093,66.294,68.563,69.209,77.907,84.308,91.121,2020
BGR,Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,079.78","7,575.77","8,381.99","9,470.58","9,863.02","10,006.35","11,331.87","12,336.97","13,414.42",2020
BGR,Bulgaria,"Inflation, average consumer prices",Percent change,,-1.067,-1.323,1.188,2.631,2.457,1.219,2.095,1.92,1.932,2020
BGR,Bulgaria,Unemployment rate,Percent of total labor force,,9.233,7.666,6.23,5.273,4.275,5.207,5.2,4.7,4.4,2020
BGR,Bulgaria,Population,Persons,Millions,7.154,7.102,7.05,7,6.951,6.917,6.875,6.834,6.793,2020
BFA,Burkina Faso,"Gross domestic product, constant prices",Percent change,,3.921,5.958,6.203,6.731,5.699,1.93,6.667,5.613,5.334,2020
BFA,Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,11.833,12.83,14.102,16.067,15.991,17.378,19.932,21.887,23.93,2020
BFA,Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,653.393,688.061,734.737,813.468,786.929,831.013,926.2,988.297,"1,049.97",2018
BFA,Burkina Faso,"Inflation, average consumer prices",Percent change,,1.653,0.441,1.483,1.956,-3.233,1.885,3,2.6,2.5,2020
BFA,Burkina Faso,Unemployment rate,Percent of total labor force,,,,,,,,,,,
BFA,Burkina Faso,Population,Persons,Millions,18.111,18.646,19.193,19.751,20.321,20.912,21.521,22.147,22.791,2018
BDI,Burundi,"Gross domestic product, constant prices",Percent change,,-3.9,-0.6,0.5,1.61,1.842,-1.04,1.634,4.191,4.665,2019
BDI,Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,3.104,2.96,3.172,3.037,3.012,3.04,3.193,3.396,3.637,2019
BDI,Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,304.243,281.062,291.859,271.289,261.294,255.984,261.053,269.561,280.26,2016
BDI,Burundi,"Inflation, average consumer prices",Percent change,,5.554,5.526,1.582,-3.98,-0.709,7.305,5.573,4.625,4.199,2020
BDI,Burundi,Unemployment rate,Percent of total labor force,,,,,,,,,,,
BDI,Burundi,Population,Persons,Millions,10.204,10.53,10.867,11.193,11.529,11.875,12.231,12.598,12.976,2016
CPV,Cabo Verde,"Gross domestic product, constant prices",Percent change,,1.007,4.706,3.702,4.531,5.668,-14.783,3.995,6.504,6.096,2019
CPV,Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,1.597,1.663,1.77,1.967,1.982,1.707,1.886,2.063,2.261,2019
CPV,Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,996.36","3,082.16","3,239.07","3,616.44","3,601.73","3,065.48","3,346.55","3,618.37","3,918.27",2018
CPV,Cabo Verde,"Inflation, average consumer prices",Percent change,,0.143,-1.436,0.783,1.275,1.106,0.605,1.5,1.6,1.7,2019
CPV,Cabo Verde,Unemployment rate,Percent of total labor force,,12.4,15,12.2,12.2,8.5,8.5,8.5,8.5,8.5,2018
CPV,Cabo Verde,Population,Persons,Millions,0.533,0.54,0.546,0.544,0.55,0.557,0.563,0.57,0.577,2018
KHM,Cambodia,"Gross domestic product, constant prices",Percent change,,7.036,6.863,6.997,7.469,7.054,-3.141,1.932,5.662,6.421,2020
KHM,Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,18.083,20.043,22.208,24.599,27.088,25.192,26.08,27.985,30.254,2020
KHM,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,203.48","1,320.33","1,448.11","1,588.00","1,736.42","1,606.81","1,647.02","1,749.81","1,872.93",2019
KHM,Cambodia,"Inflation, average consumer prices",Percent change,,1.225,3.025,2.906,2.387,2.014,2.94,2.475,3.196,2.987,2020
KHM,Cambodia,Unemployment rate,Percent of total labor force,,,,,,,,,,,
KHM,Cambodia,Population,Persons,Millions,15.026,15.181,15.336,15.491,15.6,15.678,15.835,15.993,16.153,2019
CMR,Cameroon,"Gross domestic product, constant prices",Percent change,,5.651,4.648,3.549,4.062,3.721,-1.541,3.625,4.559,4.902,2020
CMR,Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,30.932,32.635,34.997,38.712,39.009,39.938,44.806,48.29,52.073,2020
CMR,Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,327.64","1,363.95","1,424.60","1,535.19","1,507.51","1,504.50","1,645.81","1,730.10","1,820.21",2019
CMR,Cameroon,"Inflation, average consumer prices",Percent change,,2.698,0.873,0.642,1.066,2.452,2.438,2.3,2.05,2,2020
CMR,Cameroon,Unemployment rate,Percent of total labor force,,,,,,,,,,,
CMR,Cameroon,Population,Persons,Millions,23.298,23.927,24.566,25.216,25.876,26.546,27.224,27.912,28.608,2019
CAN,Canada,"Gross domestic product, constant prices",Percent change,,0.659,1.001,3.04,2.43,1.861,-5.313,5.688,4.889,2.634,2020
CAN,Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"1,556.51","1,528.00","1,649.27","1,721.82","1,741.58","1,644.04","2,015.98","2,189.79","2,306.07",2020
CAN,Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"43,626.47","42,382.64","45,191.96","46,532.17","46,399.71","43,294.80","52,791.23","56,739.82","59,125.56",2020
CAN,Canada,"Inflation, average consumer prices",Percent change,,1.125,1.429,1.597,2.268,1.949,0.717,3.152,2.637,2,2020
