Year,Principal_trading_partners,iso,Series,Value
1997,South Korea,South Korea,"Services, Balances",321.0
1997,Spain,ESP,"G_S, Balances",-31.0
1997,Spain,ESP,"Goods, Balances",-16.0
1997,Spain,ESP,"Services, Balances",-15.0
1997,Switzerland,CHE,"G_S, Balances",-531.0
1997,Switzerland,CHE,"Goods, Balances",-520.0
1997,Switzerland,CHE,"Services, Balances",-11.0
1997,Taiwan,TWN,"G_S, Balances",-240.0
1997,Taiwan,TWN,"Goods, Balances",-590.0
1997,Taiwan,TWN,"Services, Balances",350.0
1997,Total of all countries,Total of all countries,"G_S, Balances",17492.0
1997,Total of all countries,Total of all countries,"Goods, Balances",25191.0
1997,Total of all countries,Total of all countries,"Services, Balances",-7699.0
1997,Turkey,TUR,"G_S, Balances",196.0
1997,Turkey,TUR,"Goods, Balances",193.0
1997,Turkey,TUR,"Services, Balances",3.0
1997,United Kingdom,GBR,"G_S, Balances",-2621.0
1997,United Kingdom,GBR,"Goods, Balances",-1426.0
1997,United Kingdom,GBR,"Services, Balances",-1195.0
1997,United States,USA,"G_S, Balances",23198.0
1997,United States,USA,"Goods, Balances",30731.0
1997,United States,USA,"Services, Balances",-7533.0
1998,Algeria,DZA,"G_S, Balances",13.0
1998,Algeria,DZA,"Goods, Balances",13.0
1998,Algeria,DZA,"Services, Balances",0.0
1998,Australia,AUS,"G_S, Balances",-102.0
1998,Australia,AUS,"Goods, Balances",-132.0
1998,Australia,AUS,"Services, Balances",30.0
1998,Belgium,BEL,"G_S, Balances",686.0
1998,Belgium,BEL,"Goods, Balances",683.0
1998,Belgium,BEL,"Services, Balances",3.0
1998,Brazil,BRA,"G_S, Balances",876.0
1998,Brazil,BRA,"Goods, Balances",626.0
1998,Brazil,BRA,"Services, Balances",250.0
1998,China,CHN,"G_S, Balances",158.0
1998,China,CHN,"Goods, Balances",19.0
1998,China,CHN,"Services, Balances",139.0
1998,European Union excluding the United Kingdom,GBR,"G_S, Balances",-5247.0
1998,European Union excluding the United Kingdom,GBR,"Goods, Balances",-5077.0
1998,European Union excluding the United Kingdom,GBR,"Services, Balances",-170.0
1998,France,FRA,"G_S, Balances",-2169.0
1998,France,FRA,"Goods, Balances",-1964.0
1998,France,FRA,"Services, Balances",-205.0
1998,Germany,DEU,"G_S, Balances",-1750.0
1998,Germany,DEU,"Goods, Balances",-2124.0
1998,Germany,DEU,"Services, Balances",374.0
1998,Hong Kong,HKG,"G_S, Balances",-2973.0
1998,Hong Kong,HKG,"Goods, Balances",-3039.0
1998,Hong Kong,HKG,"Services, Balances",66.0
1998,India,IND,"G_S, Balances",-273.0
1998,India,IND,"Goods, Balances",-288.0
1998,India,IND,"Services, Balances",15.0
1998,Indonesia,IDN,"G_S, Balances",28.0
1998,Indonesia,IDN,"Goods, Balances",-123.0
1998,Indonesia,IDN,"Services, Balances",151.0
1998,Iraq,IRQ,"G_S, Balances",-84.0
1998,Iraq,IRQ,"Goods, Balances",-84.0
1998,Iraq,IRQ,"Services, Balances",0.0
1998,Italy,ITA,"G_S, Balances",-1229.0
1998,Italy,ITA,"Goods, Balances",-1157.0
1998,Italy,ITA,"Services, Balances",-72.0
1998,Japan,JPN,"G_S, Balances",281.0
1998,Japan,JPN,"Goods, Balances",73.0
1998,Japan,JPN,"Services, Balances",208.0
1998,Mexico,MEX,"G_S, Balances",-1181.0
1998,Mexico,MEX,"Goods, Balances",-824.0
1998,Mexico,MEX,"Services, Balances",-357.0
1998,Netherlands,NLD,"G_S, Balances",769.0
1998,Netherlands,NLD,"Goods, Balances",937.0
1998,Netherlands,NLD,"Services, Balances",-168.0
1998,Norway,NOR,"G_S, Balances",-835.0
1998,Norway,NOR,"Goods, Balances",-683.0
1998,Norway,NOR,"Services, Balances",-152.0
1998,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"G_S, Balances",-1465.0
1998,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Goods, Balances",-1411.0
1998,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Services, Balances",-54.0
1998,Other countries not elsewhere classified,Other countries not elsewhere classified,"G_S, Balances",1686.0
1998,Other countries not elsewhere classified,Other countries not elsewhere classified,"Goods, Balances",756.0
1998,Other countries not elsewhere classified,Other countries not elsewhere classified,"Services, Balances",930.0
1998,Peru,PER,"G_S, Balances",67.0
1998,Peru,PER,"Goods, Balances",67.0
1998,Peru,PER,"Services, Balances",0.0
1998,Russian Federation,RUS,"G_S, Balances",-251.0
1998,Russian Federation,RUS,"Goods, Balances",-158.0
1998,Russian Federation,RUS,"Services, Balances",-93.0
1998,Saudi Arabia,SAU,"G_S, Balances",-235.0
1998,Saudi Arabia,SAU,"Goods, Balances",-220.0
1998,Saudi Arabia,SAU,"Services, Balances",-15.0
1998,Singapore,SGP,"G_S, Balances",-417.0
1998,Singapore,SGP,"Goods, Balances",-198.0
1998,Singapore,SGP,"Services, Balances",-219.0
1998,South Korea,South Korea,"G_S, Balances",-242.0
1998,South Korea,South Korea,"Goods, Balances",-546.0
1998,South Korea,South Korea,"Services, Balances",304.0
1998,Spain,ESP,"G_S, Balances",-86.0
1998,Spain,ESP,"Goods, Balances",-39.0
1998,Spain,ESP,"Services, Balances",-47.0
1998,Switzerland,CHE,"G_S, Balances",-85.0
1998,Switzerland,CHE,"Goods, Balances",-79.0
1998,Switzerland,CHE,"Services, Balances",-6.0
1998,Taiwan,TWN,"G_S, Balances",-971.0
1998,Taiwan,TWN,"Goods, Balances",-1234.0
1998,Taiwan,TWN,"Services, Balances",263.0
1998,Total of all countries,Total of all countries,"G_S, Balances",18599.0
1998,Total of all countries,Total of all countries,"Goods, Balances",23498.0
1998,Total of all countries,Total of all countries,"Services, Balances",-4899.0
1998,Turkey,TUR,"G_S, Balances",43.0
1998,Turkey,TUR,"Goods, Balances",32.0
1998,Turkey,TUR,"Services, Balances",11.0
1998,United Kingdom,GBR,"G_S, Balances",-1719.0
1998,United Kingdom,GBR,"Goods, Balances",-765.0
1998,United Kingdom,GBR,"Services, Balances",-954.0
1998,United States,USA,"G_S, Balances",30062.0
1998,United States,USA,"Goods, Balances",35364.0
1998,United States,USA,"Services, Balances",-5302.0
1999,Algeria,DZA,"G_S, Balances",-133.0
1999,Algeria,DZA,"Goods, Balances",-133.0
1999,Algeria,DZA,"Services, Balances",0.0
1999,Australia,AUS,"G_S, Balances",52.0
1999,Australia,AUS,"Goods, Balances",1.0
1999,Australia,AUS,"Services, Balances",51.0
1999,Belgium,BEL,"G_S, Balances",1360.0
1999,Belgium,BEL,"Goods, Balances",1325.0
1999,Belgium,BEL,"Services, Balances",35.0
1999,Brazil,BRA,"G_S, Balances",571.0
1999,Brazil,BRA,"Goods, Balances",380.0
1999,Brazil,BRA,"Services, Balances",191.0
1999,China,CHN,"G_S, Balances",8.0
1999,China,CHN,"Goods, Balances",-249.0
1999,China,CHN,"Services, Balances",257.0
1999,European Union excluding the United Kingdom,GBR,"G_S, Balances",-6265.0
1999,European Union excluding the United Kingdom,GBR,"Goods, Balances",-6312.0
1999,European Union excluding the United Kingdom,GBR,"Services, Balances",47.0
1999,France,FRA,"G_S, Balances",-2479.0
1999,France,FRA,"Goods, Balances",-2344.0
1999,France,FRA,"Services, Balances",-135.0
1999,Germany,DEU,"G_S, Balances",-2667.0
1999,Germany,DEU,"Goods, Balances",-3089.0
1999,Germany,DEU,"Services, Balances",422.0
1999,Hong Kong,HKG,"G_S, Balances",-3783.0
1999,Hong Kong,HKG,"Goods, Balances",-3637.0
1999,Hong Kong,HKG,"Services, Balances",-146.0
1999,India,IND,"G_S, Balances",-245.0
1999,India,IND,"Goods, Balances",-322.0
1999,India,IND,"Services, Balances",77.0
1999,Indonesia,IDN,"G_S, Balances",84.0
1999,Indonesia,IDN,"Goods, Balances",-42.0
1999,Indonesia,IDN,"Services, Balances",126.0
1999,Iraq,IRQ,"G_S, Balances",-191.0
1999,Iraq,IRQ,"Goods, Balances",-191.0
1999,Iraq,IRQ,"Services, Balances",0.0
1999,Italy,ITA,"G_S, Balances",-1576.0
1999,Italy,ITA,"Goods, Balances",-1324.0
1999,Italy,ITA,"Services, Balances",-252.0
1999,Japan,JPN,"G_S, Balances",-814.0
1999,Japan,JPN,"Goods, Balances",-468.0
1999,Japan,JPN,"Services, Balances",-346.0
1999,Mexico,MEX,"G_S, Balances",-805.0
1999,Mexico,MEX,"Goods, Balances",-479.0
1999,Mexico,MEX,"Services, Balances",-326.0
1999,Netherlands,NLD,"G_S, Balances",383.0
1999,Netherlands,NLD,"Goods, Balances",488.0
1999,Netherlands,NLD,"Services, Balances",-105.0
1999,Norway,NOR,"G_S, Balances",-1968.0
1999,Norway,NOR,"Goods, Balances",-1773.0
1999,Norway,NOR,"Services, Balances",-195.0
1999,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"G_S, Balances",-1274.0
1999,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Goods, Balances",-1382.0
1999,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Services, Balances",108.0
1999,Other countries not elsewhere classified,Other countries not elsewhere classified,"G_S, Balances",919.0
1999,Other countries not elsewhere classified,Other countries not elsewhere classified,"Goods, Balances",84.0
1999,Other countries not elsewhere classified,Other countries not elsewhere classified,"Services, Balances",835.0
1999,Peru,PER,"G_S, Balances",83.0
1999,Peru,PER,"Goods, Balances",83.0
1999,Peru,PER,"Services, Balances",0.0
1999,Russian Federation,RUS,"G_S, Balances",-280.0
1999,Russian Federation,RUS,"Goods, Balances",-215.0
1999,Russian Federation,RUS,"Services, Balances",-65.0
1999,Saudi Arabia,SAU,"G_S, Balances",-136.0
1999,Saudi Arabia,SAU,"Goods, Balances",-105.0
1999,Saudi Arabia,SAU,"Services, Balances",-31.0
1999,Singapore,SGP,"G_S, Balances",-556.0
1999,Singapore,SGP,"Goods, Balances",-257.0
1999,Singapore,SGP,"Services, Balances",-299.0
1999,South Korea,South Korea,"G_S, Balances",248.0
1999,South Korea,South Korea,"Goods, Balances",-123.0
1999,South Korea,South Korea,"Services, Balances",371.0
1999,Spain,ESP,"G_S, Balances",-9.0
1999,Spain,ESP,"Goods, Balances",16.0
1999,Spain,ESP,"Services, Balances",-25.0
1999,Switzerland,CHE,"G_S, Balances",-886.0
1999,Switzerland,CHE,"Goods, Balances",-773.0
1999,Switzerland,CHE,"Services, Balances",-113.0
1999,Taiwan,TWN,"G_S, Balances",-1234.0
1999,Taiwan,TWN,"Goods, Balances",-1538.0
1999,Taiwan,TWN,"Services, Balances",304.0
1999,Total of all countries,Total of all countries,"G_S, Balances",36359.0
1999,Total of all countries,Total of all countries,"Goods, Balances",41517.0
1999,Total of all countries,Total of all countries,"Services, Balances",-5158.0
1999,Turkey,TUR,"G_S, Balances",42.0
1999,Turkey,TUR,"Goods, Balances",47.0
1999,Turkey,TUR,"Services, Balances",-5.0
1999,United Kingdom,GBR,"G_S, Balances",-2454.0
1999,United Kingdom,GBR,"Goods, Balances",-1666.0
1999,United Kingdom,GBR,"Services, Balances",-788.0
1999,United States,USA,"G_S, Balances",54106.0
1999,United States,USA,"Goods, Balances",59206.0
1999,United States,USA,"Services, Balances",-5100.0
2000,Algeria,DZA,"G_S, Balances",-630.0
2000,Algeria,DZA,"Goods, Balances",-630.0
2000,Algeria,DZA,"Services, Balances",0.0
2000,Australia,AUS,"G_S, Balances",394.0
2000,Australia,AUS,"Goods, Balances",142.0
2000,Australia,AUS,"Services, Balances",252.0
2000,Belgium,BEL,"G_S, Balances",1719.0
2000,Belgium,BEL,"Goods, Balances",1710.0
2000,Belgium,BEL,"Services, Balances",9.0
2000,Brazil,BRA,"G_S, Balances",496.0
2000,Brazil,BRA,"Goods, Balances",246.0
2000,Brazil,BRA,"Services, Balances",250.0
2000,China,CHN,"G_S, Balances",255.0
2000,China,CHN,"Goods, Balances",-98.0
2000,China,CHN,"Services, Balances",353.0
2000,European Union excluding the United Kingdom,GBR,"G_S, Balances",-4232.0
2000,European Union excluding the United Kingdom,GBR,"Goods, Balances",-4332.0
2000,European Union excluding the United Kingdom,GBR,"Services, Balances",100.0
2000,France,FRA,"G_S, Balances",-1261.0
2000,France,FRA,"Goods, Balances",-1316.0
2000,France,FRA,"Services, Balances",55.0
2000,Germany,DEU,"G_S, Balances",-2413.0
2000,Germany,DEU,"Goods, Balances",-2811.0
2000,Germany,DEU,"Services, Balances",398.0
2000,Hong Kong,HKG,"G_S, Balances",-3651.0
2000,Hong Kong,HKG,"Goods, Balances",-3511.0
2000,Hong Kong,HKG,"Services, Balances",-140.0
2000,India,IND,"G_S, Balances",-298.0
2000,India,IND,"Goods, Balances",-404.0
2000,India,IND,"Services, Balances",106.0
2000,Indonesia,IDN,"G_S, Balances",225.0
2000,Indonesia,IDN,"Goods, Balances",102.0
2000,Indonesia,IDN,"Services, Balances",123.0
2000,Iraq,IRQ,"G_S, Balances",-607.0
2000,Iraq,IRQ,"Goods, Balances",-607.0
2000,Iraq,IRQ,"Services, Balances",0.0
2000,Italy,ITA,"G_S, Balances",-1369.0
2000,Italy,ITA,"Goods, Balances",-1105.0
2000,Italy,ITA,"Services, Balances",-264.0
2000,Japan,JPN,"G_S, Balances",-606.0
2000,Japan,JPN,"Goods, Balances",-430.0
2000,Japan,JPN,"Services, Balances",-176.0
2000,Mexico,MEX,"G_S, Balances",-2100.0
2000,Mexico,MEX,"Goods, Balances",-1666.0
2000,Mexico,MEX,"Services, Balances",-434.0
2000,Netherlands,NLD,"G_S, Balances",399.0
2000,Netherlands,NLD,"Goods, Balances",417.0
2000,Netherlands,NLD,"Services, Balances",-18.0
2000,Norway,NOR,"G_S, Balances",-3350.0
2000,Norway,NOR,"Goods, Balances",-3122.0
2000,Norway,NOR,"Services, Balances",-228.0
2000,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"G_S, Balances",-1246.0
2000,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Goods, Balances",-1246.0
2000,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Services, Balances",0.0
2000,Other countries not elsewhere classified,Other countries not elsewhere classified,"G_S, Balances",-1285.0
2000,Other countries not elsewhere classified,Other countries not elsewhere classified,"Goods, Balances",-1770.0
2000,Other countries not elsewhere classified,Other countries not elsewhere classified,"Services, Balances",485.0
2000,Peru,PER,"G_S, Balances",101.0
2000,Peru,PER,"Goods, Balances",101.0
2000,Peru,PER,"Services, Balances",0.0
2000,Russian Federation,RUS,"G_S, Balances",-209.0
2000,Russian Federation,RUS,"Goods, Balances",-126.0
2000,Russian Federation,RUS,"Services, Balances",-83.0
2000,Saudi Arabia,SAU,"G_S, Balances",-588.0
2000,Saudi Arabia,SAU,"Goods, Balances",-534.0
2000,Saudi Arabia,SAU,"Services, Balances",-54.0
2000,Singapore,SGP,"G_S, Balances",-705.0
2000,Singapore,SGP,"Goods, Balances",-551.0
2000,Singapore,SGP,"Services, Balances",-154.0
2000,South Korea,South Korea,"G_S, Balances",-527.0
2000,South Korea,South Korea,"Goods, Balances",-870.0
2000,South Korea,South Korea,"Services, Balances",343.0
2000,Spain,ESP,"G_S, Balances",-62.0
2000,Spain,ESP,"Goods, Balances",19.0
2000,Spain,ESP,"Services, Balances",-81.0
2000,Switzerland,CHE,"G_S, Balances",-1059.0
2000,Switzerland,CHE,"Goods, Balances",-949.0
2000,Switzerland,CHE,"Services, Balances",-110.0
2000,Taiwan,TWN,"G_S, Balances",-1298.0
2000,Taiwan,TWN,"Goods, Balances",-1626.0
2000,Taiwan,TWN,"Services, Balances",328.0
2000,Total of all countries,Total of all countries,"G_S, Balances",62539.0
2000,Total of all countries,Total of all countries,"Goods, Balances",66410.0
2000,Total of all countries,Total of all countries,"Services, Balances",-3871.0
2000,Turkey,TUR,"G_S, Balances",45.0
2000,Turkey,TUR,"Goods, Balances",55.0
2000,Turkey,TUR,"Services, Balances",-10.0
2000,United Kingdom,GBR,"G_S, Balances",-5350.0
2000,United Kingdom,GBR,"Goods, Balances",-5013.0
2000,United Kingdom,GBR,"Services, Balances",-337.0
2000,United States,USA,"G_S, Balances",87518.0
2000,United States,USA,"Goods, Balances",92001.0
2000,United States,USA,"Services, Balances",-4483.0
2001,Algeria,DZA,"G_S, Balances",-708.0
2001,Algeria,DZA,"Goods, Balances",-708.0
2001,Algeria,DZA,"Services, Balances",0.0
2001,Australia,AUS,"G_S, Balances",-24.0
2001,Australia,AUS,"Goods, Balances",-244.0
2001,Australia,AUS,"Services, Balances",220.0
2001,Belgium,BEL,"G_S, Balances",1202.0
2001,Belgium,BEL,"Goods, Balances",1157.0
2001,Belgium,BEL,"Services, Balances",45.0
2001,Brazil,BRA,"G_S, Balances",116.0
2001,Brazil,BRA,"Goods, Balances",-52.0
2001,Brazil,BRA,"Services, Balances",168.0
2001,China,CHN,"G_S, Balances",84.0
2001,China,CHN,"Goods, Balances",-247.0
2001,China,CHN,"Services, Balances",331.0
2001,European Union excluding the United Kingdom,GBR,"G_S, Balances",-7499.0
2001,European Union excluding the United Kingdom,GBR,"Goods, Balances",-6505.0
2001,European Union excluding the United Kingdom,GBR,"Services, Balances",-994.0
2001,France,FRA,"G_S, Balances",-1706.0
2001,France,FRA,"Goods, Balances",-1093.0
2001,France,FRA,"Services, Balances",-613.0
2001,Germany,DEU,"G_S, Balances",-3733.0
2001,Germany,DEU,"Goods, Balances",-4036.0
2001,Germany,DEU,"Services, Balances",303.0
2001,Hong Kong,HKG,"G_S, Balances",-3885.0
2001,Hong Kong,HKG,"Goods, Balances",-3744.0
2001,Hong Kong,HKG,"Services, Balances",-141.0
2001,India,IND,"G_S, Balances",-54.0
2001,India,IND,"Goods, Balances",-139.0
2001,India,IND,"Services, Balances",85.0
2001,Indonesia,IDN,"G_S, Balances",-137.0
2001,Indonesia,IDN,"Goods, Balances",-206.0
2001,Indonesia,IDN,"Services, Balances",69.0
2001,Iraq,IRQ,"G_S, Balances",-978.0
2001,Iraq,IRQ,"Goods, Balances",-978.0
2001,Iraq,IRQ,"Services, Balances",0.0
2001,Italy,ITA,"G_S, Balances",-1811.0
2001,Italy,ITA,"Goods, Balances",-1419.0
2001,Italy,ITA,"Services, Balances",-392.0
2001,Japan,JPN,"G_S, Balances",-562.0
2001,Japan,JPN,"Goods, Balances",-460.0
2001,Japan,JPN,"Services, Balances",-102.0
2001,Mexico,MEX,"G_S, Balances",-1543.0
2001,Mexico,MEX,"Goods, Balances",-1179.0
2001,Mexico,MEX,"Services, Balances",-364.0
2001,Netherlands,NLD,"G_S, Balances",324.0
2001,Netherlands,NLD,"Goods, Balances",419.0
2001,Netherlands,NLD,"Services, Balances",-95.0
2001,Norway,NOR,"G_S, Balances",-2631.0
2001,Norway,NOR,"Goods, Balances",-2350.0
2001,Norway,NOR,"Services, Balances",-281.0
2001,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"G_S, Balances",-1910.0
2001,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Goods, Balances",-1831.0
2001,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Services, Balances",-79.0
2001,Other countries not elsewhere classified,Other countries not elsewhere classified,"G_S, Balances",-1055.0
2001,Other countries not elsewhere classified,Other countries not elsewhere classified,"Goods, Balances",-1124.0
2001,Other countries not elsewhere classified,Other countries not elsewhere classified,"Services, Balances",69.0
2001,Peru,PER,"G_S, Balances",20.0
2001,Peru,PER,"Goods, Balances",20.0
2001,Peru,PER,"Services, Balances",0.0
2001,Russian Federation,RUS,"G_S, Balances",95.0
2001,Russian Federation,RUS,"Goods, Balances",199.0
2001,Russian Federation,RUS,"Services, Balances",-104.0
2001,Saudi Arabia,SAU,"G_S, Balances",-525.0
2001,Saudi Arabia,SAU,"Goods, Balances",-475.0
2001,Saudi Arabia,SAU,"Services, Balances",-50.0
2001,Singapore,SGP,"G_S, Balances",-641.0
2001,Singapore,SGP,"Goods, Balances",-224.0
2001,Singapore,SGP,"Services, Balances",-417.0
2001,South Korea,South Korea,"G_S, Balances",-455.0
2001,South Korea,South Korea,"Goods, Balances",-1031.0
2001,South Korea,South Korea,"Services, Balances",576.0
2001,Spain,ESP,"G_S, Balances",139.0
2001,Spain,ESP,"Goods, Balances",298.0
2001,Spain,ESP,"Services, Balances",-159.0
2001,Switzerland,CHE,"G_S, Balances",-1177.0
2001,Switzerland,CHE,"Goods, Balances",-1159.0
2001,Switzerland,CHE,"Services, Balances",-18.0
2001,Taiwan,TWN,"G_S, Balances",-1277.0
2001,Taiwan,TWN,"Goods, Balances",-1503.0
2001,Taiwan,TWN,"Services, Balances",226.0
2001,Total of all countries,Total of all countries,"G_S, Balances",65650.0
2001,Total of all countries,Total of all countries,"Goods, Balances",70073.0
2001,Total of all countries,Total of all countries,"Services, Balances",-4423.0
2001,Turkey,TUR,"G_S, Balances",-63.0
2001,Turkey,TUR,"Goods, Balances",-75.0
2001,Turkey,TUR,"Services, Balances",12.0
2001,United Kingdom,GBR,"G_S, Balances",-4994.0
2001,United Kingdom,GBR,"Goods, Balances",-5046.0
2001,United Kingdom,GBR,"Services, Balances",52.0
2001,United States,USA,"G_S, Balances",93543.0
2001,United States,USA,"Goods, Balances",97301.0
2001,United States,USA,"Services, Balances",-3758.0
2002,Algeria,DZA,"G_S, Balances",-956.0
2002,Algeria,DZA,"Goods, Balances",-956.0
2002,Algeria,DZA,"Services, Balances",0.0
2002,Australia,AUS,"G_S, Balances",-40.0
2002,Australia,AUS,"Goods, Balances",-179.0
2002,Australia,AUS,"Services, Balances",139.0
2002,Belgium,BEL,"G_S, Balances",322.0
2002,Belgium,BEL,"Goods, Balances",261.0
2002,Belgium,BEL,"Services, Balances",61.0
2002,Brazil,BRA,"G_S, Balances",-443.0
2002,Brazil,BRA,"Goods, Balances",-646.0
2002,Brazil,BRA,"Services, Balances",203.0
2002,China,CHN,"G_S, Balances",-2170.0
2002,China,CHN,"Goods, Balances",-2351.0
2002,China,CHN,"Services, Balances",181.0
2002,European Union excluding the United Kingdom,GBR,"G_S, Balances",-10576.0
2002,European Union excluding the United Kingdom,GBR,"Goods, Balances",-9575.0
2002,European Union excluding the United Kingdom,GBR,"Services, Balances",-1001.0
2002,France,FRA,"G_S, Balances",-1705.0
2002,France,FRA,"Goods, Balances",-1488.0
2002,France,FRA,"Services, Balances",-217.0
2002,Germany,DEU,"G_S, Balances",-4148.0
2002,Germany,DEU,"Goods, Balances",-4301.0
2002,Germany,DEU,"Services, Balances",153.0
2002,Hong Kong,HKG,"G_S, Balances",-4998.0
2002,Hong Kong,HKG,"Goods, Balances",-4409.0
2002,Hong Kong,HKG,"Services, Balances",-589.0
2002,India,IND,"G_S, Balances",-222.0
2002,India,IND,"Goods, Balances",-322.0
2002,India,IND,"Services, Balances",100.0
2002,Indonesia,IDN,"G_S, Balances",-45.0
2002,Indonesia,IDN,"Goods, Balances",-135.0
2002,Indonesia,IDN,"Services, Balances",90.0
2002,Iraq,IRQ,"G_S, Balances",-1020.0
2002,Iraq,IRQ,"Goods, Balances",-1020.0
2002,Iraq,IRQ,"Services, Balances",0.0
2002,Italy,ITA,"G_S, Balances",-2263.0
2002,Italy,ITA,"Goods, Balances",-2031.0
2002,Italy,ITA,"Services, Balances",-232.0
2002,Japan,JPN,"G_S, Balances",-2804.0
2002,Japan,JPN,"Goods, Balances",-1636.0
2002,Japan,JPN,"Services, Balances",-1168.0
2002,Mexico,MEX,"G_S, Balances",-1447.0
2002,Mexico,MEX,"Goods, Balances",-1402.0
2002,Mexico,MEX,"Services, Balances",-45.0
2002,Netherlands,NLD,"G_S, Balances",409.0
2002,Netherlands,NLD,"Goods, Balances",616.0
2002,Netherlands,NLD,"Services, Balances",-207.0
2002,Norway,NOR,"G_S, Balances",-2549.0
2002,Norway,NOR,"Goods, Balances",-2587.0
2002,Norway,NOR,"Services, Balances",38.0
